date,service,amount,currency,provider
2023-01-01,EC2,125.45,USD,AWS
2023-01-01,S3,42.10,USD,AWS
2023-01-01,RDS,78.32,USD,AWS
2023-01-01,Lambda,15.20,USD,AWS
2023-01-01,CloudFront,28.75,USD,AWS
2023-01-01,Compute Engine,131.87,USD,GCP
2023-01-01,Cloud Storage,45.22,USD,GCP
2023-01-01,BigQuery,82.15,USD,GCP
2023-01-01,Virtual Machines,145.75,USD,Azure
2023-01-01,Storage,38.20,USD,Azure
2023-01-01,Azure SQL,95.50,USD,Azure
2023-02-01,EC2,132.60,USD,AWS
2023-02-01,S3,44.30,USD,AWS
2023-02-01,RDS,81.45,USD,AWS
2023-02-01,Lambda,16.80,USD,AWS
2023-02-01,CloudFront,30.25,USD,AWS
2023-02-01,Compute Engine,138.45,USD,GCP
2023-02-01,Cloud Storage,47.80,USD,GCP
2023-02-01,BigQuery,85.30,USD,GCP
2023-02-01,Virtual Machines,152.40,USD,Azure
2023-02-01,Storage,40.15,USD,Azure
2023-02-01,Azure SQL,98.75,USD,Azure
2023-03-01,EC2,140.25,USD,AWS
2023-03-01,S3,46.75,USD,AWS
2023-03-01,RDS,84.90,USD,AWS
2023-03-01,Lambda,18.45,USD,AWS
2023-03-01,CloudFront,32.10,USD,AWS
2023-03-01,Compute Engine,145.20,USD,GCP
2023-03-01,Cloud Storage,50.45,USD,GCP
2023-03-01,BigQuery,88.75,USD,GCP
2023-03-01,Virtual Machines,159.80,USD,Azure
2023-03-01,Storage,42.30,USD,Azure
2023-03-01,Azure SQL,102.40,USD,Azure
2023-04-01,EC2,138.75,USD,AWS
2023-04-01,S3,45.90,USD,AWS
2023-04-01,RDS,83.25,USD,AWS
2023-04-01,Lambda,17.60,USD,AWS
2023-04-01,CloudFront,31.50,USD,AWS
2023-04-01,Compute Engine,142.80,USD,GCP
2023-04-01,Cloud Storage,49.30,USD,GCP
2023-04-01,BigQuery,87.15,USD,GCP
2023-04-01,Virtual Machines,156.25,USD,Azure
2023-04-01,Storage,41.45,USD,Azure
2023-04-01,Azure SQL,100.80,USD,Azure
2023-05-01,EC2,145.30,USD,AWS
2023-05-01,S3,48.20,USD,AWS
2023-05-01,RDS,86.70,USD,AWS
2023-05-01,Lambda,19.10,USD,AWS
2023-05-01,CloudFront,33.40,USD,AWS
2023-05-01,Compute Engine,149.50,USD,GCP
2023-05-01,Cloud Storage,51.75,USD,GCP
2023-05-01,BigQuery,90.40,USD,GCP
2023-05-01,Virtual Machines,163.90,USD,Azure
2023-05-01,Storage,43.60,USD,Azure
2023-05-01,Azure SQL,104.25,USD,Azure
2023-06-01,EC2,151.80,USD,AWS
2023-06-01,S3,50.45,USD,AWS
2023-06-01,RDS,90.15,USD,AWS
2023-06-01,Lambda,20.75,USD,AWS
2023-06-01,CloudFront,35.20,USD,AWS
2023-06-01,Compute Engine,156.30,USD,GCP
2023-06-01,Cloud Storage,54.20,USD,GCP
2023-06-01,BigQuery,93.85,USD,GCP
2023-06-01,Virtual Machines,171.45,USD,Azure
2023-06-01,Storage,45.80,USD,Azure
2023-06-01,Azure SQL,108.60,USD,Azure
